 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,0.104831,0.110378,0.140428,0.210618,0.267109,0.316748,0.365028,0.421733,0.470862,0.507902,0.541671,0.57182,0.600214,0.626369,0.653463,0.680905,0.709253,0.740138,0.773239,3.73833,4.1711,1.54087,1.42948,1.37514,1.37766
J-10,0.0840205,0.100977,0.139125,0.20526,0.259137,0.308015,0.356111,0.41282,0.463062,0.501359,0.53616,0.567452,0.596899,0.624028,0.652061,0.680415,0.709657,0.741479,0.775743,3.1472,3.57673,1.47569,1.38708,1.34873,1.35833
J-100,0.0800888,0.0990093,0.140684,0.208314,0.263612,0.313848,0.363365,0.422088,0.473824,0.5129,0.548218,0.579905,0.609671,0.637025,0.665312,0.693927,0.723422,0.755563,0.79011,2.9752,3.38913,1.47853,1.39195,1.35423,1.36371
J-102,0.069057,0.171891,0.283481,0.390011,0.492357,0.610265,0.736872,0.892165,1.03902,1.16413,2.33644,2.33634,2.23373,1.92848,1.78721,1.7871,1.99411,2.47638,3.00912,7.39E-05,4.33E-05,0.000180407,2.333,3.68873,1.56497
J-103,0.073458,0.176005,0.287532,0.394084,0.496597,0.61473,0.741574,0.89731,1.04413,1.16855,2.34107,2.34098,2.23854,1.93399,1.7934,1.79329,1.99945,2.48075,3.01039,0.000126339,5.52E-05,0.000541126,2.33389,3.69118,1.63421
J-104,0.0710774,0.17392,0.285481,0.392019,0.494394,0.612274,0.738725,0.893817,1.04099,1.16631,2.33856,2.33847,2.23587,1.93062,1.78935,1.78924,1.99625,2.4785,3.01111,7.38E-05,4.33E-05,0.000190957,2.33508,3.69076,1.56701
J-105,0.0748296,0.17723,0.28938,0.394451,0.493436,0.606885,0.72573,0.867508,1.00327,1.11985,2.24343,2.24334,2.14297,1.84285,1.70342,1.70329,1.90762,2.37962,2.89554,3.31939,3.53192,3.26266,2.25078,3.62838,1.82078
J-106,0.07498,0.177375,0.289519,0.394596,0.493575,0.607025,0.725866,0.867624,1.00338,1.11994,2.24336,2.24327,2.1429,1.84277,1.70334,1.70321,1.90755,2.37955,2.89546,3.31928,3.53156,3.26253,2.25077,3.62841,1.82083
J-107,0.0684702,0.17143,0.283006,0.389523,0.49179,0.609639,0.736319,0.891968,1.0395,1.16547,2.3335,2.33341,2.23065,1.92473,1.78278,1.78267,1.99055,2.47369,3.01674,4.50E-05,2.38E-05,0.000110517,2.33442,3.68929,1.49539
J-108,0.266736,0.370703,0.479756,0.578913,0.668606,0.76931,0.873087,0.990723,1.11415,1.22825,2.33606,2.33598,2.24413,1.96955,1.84171,1.8416,2.02879,2.46086,2.93165,11.6086,0.000117951,3.29183,2.35969,3.63438,1.66979
J-11,0.0954972,0.105843,0.140788,0.209276,0.264602,0.31381,0.36185,0.418288,0.467514,0.504774,0.538723,0.569145,0.59781,0.624252,0.651603,0.679286,0.707837,0.738869,0.772077,3.41777,3.8333,1.50713,1.4089,1.3628,1.36862
J-110,0.075204,0.177658,0.289808,0.394857,0.49375,0.607206,0.726135,0.868116,1.00432,1.12154,2.24107,2.24098,2.14042,1.83961,1.69947,1.69935,1.90458,2.3775,2.89406,3.33026,0.000643877,3.25428,2.25314,3.62958,1.76829
