 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,0.350836,0.311251,0.315341,0.409227,0.419756,0.440924,0.517439,0.547926,0.555118,0.528749,0.317473,0.564632,0.0706037,1.46949,-0.462353,1.81822,-0.703756,1.92078,-0.700333,1.89475,-0.632,1.97599,-0.280023,1.57511,-0.257902
J-10,0.138058,0.0819548,-0.390822,-0.284839,-0.208187,-0.15096,-0.205987,-0.129649,-0.0550585,-0.0194069,0.000649773,-0.00635145,-0.0343286,0.0932015,0.118149,0.116566,0.151166,0.168157,0.169285,0.202738,0.195941,0.220733,0.232991,0.242709,0.248001
J-100,0.294309,0.271494,-0.194065,-0.0903375,-0.028795,0.0284338,-0.00937461,0.0760264,0.155503,0.189662,0.195124,0.203637,0.198456,0.27269,0.32839,0.316564,0.342873,0.368468,0.379788,0.421388,0.425337,0.438695,0.399138,0.424928,0.377309
J-1000,0.516831,0.491819,0.502489,0.361983,0.340767,0.377743,0.413393,0.424344,0.465062,0.444226,0.307165,0.484625,0.156694,1.0941,-0.163335,1.31321,-0.322812,1.40101,-0.273303,1.4317,-0.205507,1.52727,-0.0441336,1.22571,-0.0688691
J-1001,5.43332,5.31633,5.28555,5.46507,5.51695,5.59002,5.71381,5.85871,5.95599,5.92353,5.80304,5.94614,5.64837,6.46051,5.3334,6.6446,5.17807,6.72066,5.24956,6.74959,5.29683,6.78784,5.23637,6.26078,5.12861
J-1002,0.192998,0.2426,0.262182,0.232135,0.220323,0.231137,0.24001,0.272926,0.306658,0.325591,0.326384,0.383085,0.223715,0.535681,0.205757,0.697307,0.185183,0.777091,0.244905,0.825217,0.333835,0.765813,0.382271,0.815476,0.228445
J-1003,0.0636617,0.0843775,0.0654678,0.123973,0.136111,0.162199,0.211872,0.301127,0.307466,0.298909,-0.0358684,0.364977,-0.40521,1.66651,-1.167,2.10715,-1.49997,2.22096,-1.48605,2.20709,-1.35708,2.18473,-1.29588,2.15386,-1.09316
J-1004,0.309439,0.254774,0.237311,0.342963,0.351086,0.371218,0.431283,0.478544,0.489184,0.464006,0.287697,0.516792,0.104442,1.19086,-0.23972,1.41195,-0.398206,1.49507,-0.360176,1.48857,-0.282475,1.55998,-0.0772031,1.26941,-0.0732355
J-1005,0.316873,0.279864,0.270257,0.350521,0.34965,0.373537,0.427474,0.441353,0.47573,0.453288,0.31022,0.495251,0.153191,1.12236,-0.17634,1.3453,-0.338796,1.43167,-0.28868,1.45668,-0.218098,1.55093,-0.0510425,1.24652,-0.0766653
J-1006,0.274856,0.217549,0.158234,0.243133,0.248775,0.255564,0.321075,0.342038,0.376606,0.349039,0.184669,0.387997,-0.0220642,1.16683,-0.463901,1.46417,-0.666505,1.54655,-0.593191,1.51583,-0.489782,1.61761,-0.330355,1.2474,-0.308955
