 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,0.120404,0.14478,0.16743,0.189261,0.209901,0.229504,0.27844,0.312514,0.344549,0.376388,0.407886,0.439405,0.470991,0.503098,0.476053,0.45709,0.472714,0.515495,0.492662,0.49245,0.486869,0.481799,0.525421,0.597042,0.648125
J-10,0.224838,0.227702,0.224578,0.190929,0.208136,-2.09051,-0.660361,-0.776682,-0.610662,-0.471342,-0.350545,-0.244276,-0.149693,-0.0666653,1.01172,0.546399,0.731219,-1.91561,-0.223308,-0.124493,-0.0480124,0.00760645,0.0577771,0.0990712,0.170088
J-100,0.174352,0.191231,0.20469,0.196799,0.202715,-6.0389,-0.654878,-0.813011,-0.676839,-0.542647,-0.419197,-0.306552,-0.204991,-0.112905,1.5479,0.984481,1.0757,-5.53782,-0.37191,-0.25064,-0.145886,-0.0589476,0.0242261,0.0647596,0.134977
J-101,0.175374,0.191568,0.203986,0.194821,0.200132,-6.45125,-0.647667,-0.796952,-0.663938,-0.532357,-0.411381,-0.300746,-0.200908,-0.110034,1.45348,0.909881,1.00611,-6.00545,-0.354782,-0.237906,-0.138271,-0.0541591,0.0291318,0.0753362,0.143101
J-102,0.211436,0.217916,0.221674,0.213195,0.221299,-6.56561,-0.588331,-0.725066,-0.59649,-0.467961,-0.349414,-0.240752,-0.142559,-0.0529214,1.35429,0.851759,0.946088,-6.09747,-0.282727,-0.169545,-0.0751047,0.00433851,0.085902,0.146559,0.213368
J-103,0.342515,0.330366,0.318215,0.29377,0.293952,0.352529,-0.355189,-0.360263,-0.201531,-0.0910529,0.0137572,0.101808,0.177544,0.2489,0.655191,0.496197,0.609716,0.673646,0.196692,0.317336,0.369942,0.384646,0.29034,0.390559,0.46483
J-104,0.338523,0.325996,0.313411,0.28876,0.28892,0.348233,-0.356619,-0.364476,-0.205957,-0.0954159,0.0104348,0.0983621,0.173294,0.24403,0.626185,0.471309,0.583572,0.647601,0.187421,0.304707,0.355945,0.37148,0.286034,0.392119,0.464237
J-105,0.426125,0.414603,0.401684,0.372227,0.371138,-1.68689,-0.465074,-0.539011,-0.355631,-0.212741,-0.0910206,0.0149871,0.109472,0.194049,1.59802,1.05931,1.25189,-1.6129,-0.178727,-0.0157162,0.11583,0.174155,0.18411,0.237387,0.336937
J-106,0.449369,0.437307,0.424009,0.394361,0.393118,-1.66558,-0.440193,-0.512221,-0.328552,-0.185622,-0.0639282,0.0420119,0.136429,0.220919,1.61461,1.07627,1.26854,-1.58843,-0.150895,0.0115964,0.142594,0.200825,0.21012,0.264478,0.364084
J-107,2.53406,2.35467,2.21562,2.07361,2.12216,-1.41991,1.90187,2.22226,2.6828,2.9263,3.09158,3.2001,3.27631,3.31132,4.00816,3.35111,3.69157,0.4463,3.3795,3.61709,3.73203,3.71083,2.98084,2.65598,2.60385
J-108,3.34534,3.1259,2.96687,2.82405,2.89411,-0.661867,2.88877,3.41771,3.9944,4.27407,4.45325,4.56126,4.63042,4.64813,5.03769,4.50179,4.77621,1.60655,4.7655,5.05211,5.17283,5.12103,4.11691,3.64727,3.54176
J-109,0.22956,0.236524,0.238741,0.215837,0.207998,-2.7751,-0.709235,-0.84886,-0.693907,-0.549924,-0.420013,-0.302042,-0.195765,-0.0991579,1.3059,0.894514,0.913827,-2.53664,-0.358995,-0.218846,-0.116873,-0.0326491,0.0557473,0.116938,0.191443
J-11,0.541576,0.463133,0.377058,0.243545,0.291006,0.299592,-0.229049,-0.343438,-0.237076,-0.12314,-0.0203836,0.0710284,0.151821,0.223965,0.424353,0.208147,0.368818,0.428268,0.248209,0.231863,0.268919,0.300539,0.42391,0.507297,0.557066
J-110,0.227504,0.23511,0.238086,0.216309,0.205599,-2.89409,-0.727621,-0.873277,-0.716992,-0.571049,-0.439727,-0.320816,-0.213887,-0.116931,1.37117,0.935837,0.956582,-2.64803,-0.382719,-0.242427,-0.138183,-0.0515897,0.0350824,0.0886766,0.164642
J-111,0.281942,0.263977,0.241614,0.191798,0.215612,-1.99103,-0.731691,-0.904349,-0.725272,-0.574211,-0.443379,-0.328089,-0.225938,-0.135447,1.50179,0.661623,1.03257,-1.71333,-0.340475,-0.269395,-0.175187,-0.0869021,-0.0023291,0.0378624,0.126028
J-112,0.27876,0.262328,0.241476,0.191516,0.21301,-1.98966,-0.73027,-0.90281,-0.723612,-0.572951,-0.442332,-0.32718,-0.22517,-0.134687,1.495,0.657124,1.027,-1.71224,-0.337367,-0.267057,-0.173437,-0.085549,-0.00109573,0.037397,0.124952
J-113,0.336465,0.314157,0.289233,0.234282,0.217203,0.288968,-0.301819,-0.368555,-0.244419,-0.130027,-0.0272702,0.0644343,0.145922,0.217891,0.491479,0.317073,0.393577,0.444099,0.175601,0.230977,0.278058,0.31532,0.348328,0.428826,0.465499
J-114,0.339833,0.317533,0.292735,0.238108,0.221327,0.292907,-0.297045,-0.361397,-0.236978,-0.122567,-0.0199232,0.0716162,0.152904,0.224658,0.477804,0.312386,0.38642,0.437645,0.185404,0.239748,0.285971,0.322444,0.354638,0.435715,0.471632
J-115,15.6696,15.2979,15.0317,14.8627,14.8174,11.9596,14.9957,15.4883,16.0012,16.2981,16.5117,16.6719,16.8046,16.909,17.5656,16.7283,16.6685,13.2071,15.9615,16.3043,16.4883,16.5328,16.0268,16.1199,16.3892
J-116,0.37653,0.355803,0.345948,0.319535,0.319671,-3.25868,-0.412701,-0.609944,-0.487468,-0.352041,-0.225651,-0.107596,-4.73E-05,0.0994667,1.83763,1.1416,1.30079,-2.89882,-0.184896,-0.0748388,0.0349712,0.136524,0.269799,0.357802,0.443823
J-117,0.202632,0.209746,0.213909,0.194234,0.203371,-2.12217,-0.729764,-0.860911,-0.681626,-0.535404,-0.408304,-0.295859,-0.19553,-0.106245,1.17932,0.686547,0.835264,-1.956,-0.318572,-0.197725,-0.105081,-0.0378075,0.0145931,0.0384256,0.116198
J-118,0.202693,0.208539,0.211452,0.190173,0.203695,-2.0755,-0.761654,-0.909675,-0.730161,-0.582644,-0.45181,-0.336727,-0.234221,-0.143413,1.37923,0.796387,0.977904,-1.91781,-0.381353,-0.25796,-0.155703,-0.0850552,-0.0270511,-0.0146208,0.0661168
J-119,0.600005,0.510759,0.408296,0.250365,0.300565,0.304872,-0.206204,-0.360025,-0.259965,-0.147703,-0.0463092,0.043924,0.123824,0.195544,0.359548,0.184335,0.367064,0.428542,0.220449,0.205966,0.242128,0.27282,0.418059,0.527307,0.577693
J-12,0.54635,0.467738,0.381278,0.242636,0.28786,-2.79197,-0.22634,-0.346979,-0.241102,-0.126685,-0.0233902,0.0683353,0.14946,0.221809,0.450798,0.217086,0.38357,0.442102,0.247802,0.229277,0.265703,0.298801,0.424191,0.508039,0.557919
J-120,0.523687,0.455109,0.381587,0.249059,0.289612,0.307956,-0.246537,-0.326978,-0.207865,-0.092497,0.0106654,0.102165,0.182988,0.25493,0.447849,0.218117,0.383849,0.437211,0.287826,0.273476,0.308355,0.344902,0.439483,0.492081,0.534579
J-121,0.7141,0.651215,0.616439,0.596668,0.647764,0.787775,0.367241,0.324657,0.659532,0.872573,1.01348,1.10517,1.16924,1.18883,1.65916,1.48051,1.59475,1.70473,1.29249,1.50863,1.59403,1.56958,0.977826,1.09355,1.11095
J-122,0.72749,0.664089,0.62889,0.608788,0.660062,0.800136,0.379756,0.338643,0.674579,0.88786,1.02889,1.12069,1.18485,1.20457,1.67556,1.49598,1.60997,1.71963,1.30825,1.52478,1.61028,1.5857,0.992654,1.10718,1.12486
J-123,0.413222,0.374636,0.333712,0.25982,0.237452,0.311845,-0.241422,-0.30346,-0.172986,-0.0562384,0.0472508,0.138774,0.219541,0.290256,0.519642,0.34299,0.421538,0.47491,0.266467,0.315052,0.360143,0.395019,0.419053,0.486313,0.519447
J-124,6.09859,5.84896,5.65426,5.49673,5.44812,5.54788,5.54535,5.88187,6.25506,6.47964,6.64649,6.77489,6.88221,6.96772,6.76409,6.38582,6.34688,6.29635,6.45591,6.65571,6.75989,6.77597,6.44712,6.54217,6.70878
J-125,0.538013,0.463148,0.382671,0.253364,0.245458,0.30305,-0.199857,-0.298099,-0.176774,-0.0614391,0.0421553,0.13446,0.216205,0.288808,0.558342,0.295313,0.440149,0.49303,0.298269,0.306794,0.34635,0.38395,0.458475,0.519908,0.564101
J-126,0.52638,0.455195,0.378635,0.254765,0.236426,-4.40397,-0.285581,-0.409375,-0.275258,-0.150113,-0.0380176,0.0617131,0.150073,0.228328,0.964398,0.474724,0.699271,-3.59952,0.179512,0.205775,0.261335,0.31607,0.39341,0.435963,0.4872
J-127,0.0522637,0.112057,0.165383,0.200229,0.208128,-1.27407,-0.817146,-0.890601,-0.72909,-0.58281,-0.452574,-0.335877,-0.231517,-0.137497,0.723013,0.647285,0.553766,-1.01097,-0.414242,-0.221373,-0.116386,-0.0455143,0.0179283,0.0632447,0.12661
J-128,0.140692,0.168551,0.192267,0.195514,0.2034,-2.31419,-0.740466,-0.845318,-0.687991,-0.544516,-0.417412,-0.303723,-0.202058,-0.110808,0.905261,0.627505,0.653675,-2.10644,-0.339905,-0.185833,-0.0904614,-0.0220023,0.0354687,0.088986,0.151307
J-129,0.139432,0.167046,0.190661,0.193882,0.203118,-2.18962,-0.728971,-0.82401,-0.662061,-0.519946,-0.395321,-0.284209,-0.18495,-0.0960518,0.791371,0.542087,0.579776,-1.96812,-0.310358,-0.159267,-0.0692109,-0.00662551,0.0428498,0.114963,0.174993
J-13,0.432807,0.384005,0.325132,0.229765,0.275441,-1.4869,-0.393116,-0.534841,-0.400661,-0.273141,-0.163132,-0.067218,0.0171825,0.0907433,0.607164,0.181448,0.455795,0.507228,0.131909,0.0972996,0.126161,0.1676,0.266232,0.377037,0.44126
J-130,0.270684,0.257558,0.240193,0.193975,0.208355,-2.05126,-0.774077,-0.948082,-0.763505,-0.606187,-0.472527,-0.354567,-0.249048,-0.155896,1.60693,0.835973,1.11354,-1.85383,-0.403378,-0.297655,-0.190612,-0.104824,-0.0361142,-0.0244598,0.0651595
J-131,0.2639,0.252388,0.236592,0.192093,0.208636,-2.02621,-0.775599,-0.953419,-0.773196,-0.615444,-0.480726,-0.362672,-0.25787,-0.166036,1.61462,0.833624,1.1231,-1.81373,-0.411565,-0.307464,-0.200023,-0.114142,-0.041708,-0.0279993,0.0607014
J-132,0.697323,0.635765,0.601777,0.582079,0.633332,0.772426,0.348391,0.3028,0.63588,0.847931,0.988328,1.07991,1.14405,1.16409,1.6391,1.45953,1.57414,1.68361,1.26742,1.4825,1.56767,1.54375,0.957214,1.07396,1.09216
J-133,6.56748,6.2802,6.07822,5.96043,5.97612,6.13046,6.14682,6.43259,6.95052,7.24458,7.43678,7.56439,7.65938,7.70638,7.78378,7.43263,7.41349,7.39977,7.31414,7.61879,7.74129,7.71749,6.95952,7.1299,7.29797
J-134,0.153391,0.178404,0.199822,0.20144,0.210978,-2.66354,-0.624416,-0.68478,-0.559172,-0.429772,-0.311918,-0.207142,-0.113788,-0.0302769,0.503152,0.352662,0.391458,0.432319,-0.205974,-0.0656286,0.0144277,0.0652684,0.112698,0.199697,0.251462
J-135,0.172701,0.193705,0.210295,0.204634,0.215489,-2.51212,-0.640454,-0.718568,-0.608717,-0.479787,-0.354149,-0.244013,-0.147171,-0.0624209,0.619437,0.446389,0.468765,-2.22925,-0.260377,-0.114479,-0.0170895,0.0417016,0.102761,0.193776,0.248844
J-136,0.290555,0.272695,0.250571,0.199589,0.223635,-1.99001,-0.637391,-0.777563,-0.617878,-0.473439,-0.349956,-0.241548,-0.14568,-0.0613078,1.15843,0.438814,0.798091,-1.75713,-0.173473,-0.136794,-0.0691017,0.00507864,0.0835511,0.161353,0.238757
J-137,0.320278,0.293789,0.26253,0.201882,0.217757,-2.05736,-0.629777,-0.764176,-0.605414,-0.463925,-0.340164,-0.231393,-0.135257,-0.0505097,1.18313,0.455698,0.808338,-1.79462,-0.168763,-0.125231,-0.0540643,0.0207669,0.0928014,0.17141,0.247529
J-138,0.289156,0.290885,0.279405,0.240945,0.272734,0.281082,-0.222904,-0.335674,-0.23157,-0.123194,-0.028455,0.055076,0.129032,0.194343,-0.0114883,0.0112303,0.0602254,0.111557,0.181811,0.246265,0.284331,0.305622,0.365307,0.54022,0.579408
J-139,0.405325,0.370139,0.322392,0.23955,0.287948,-1.13488,-0.282937,-0.426079,-0.308313,-0.190913,-0.0892933,-0.000227459,0.0783696,0.147262,0.259442,0.0642843,0.240637,0.296169,0.173897,0.179635,0.208428,0.246259,0.335398,0.466573,0.516269
J-14,6.48922,6.40968,6.32957,6.22989,6.2965,4.5875,6.01377,6.32608,6.67622,6.89549,7.05616,7.1785,7.27991,7.35933,7.32886,6.90882,7.0353,7.01672,6.9521,7.09541,7.18217,7.1896,6.88161,7.05673,7.21753
J-140,0.344197,0.313001,0.276065,0.203804,0.2247,-1.93569,-0.776588,-0.984724,-0.791279,-0.631589,-0.493925,-0.372664,-0.265261,3.2607,1.8538,0.909448,1.28242,-1.65249,-0.452431,-0.358243,-0.24167,-0.138922,-0.0472913,-0.0459078,0.0578039
J-141,0.376534,0.335628,0.287393,0.211971,0.23383,-1.93431,-0.765492,-0.967682,-0.774675,-0.616069,-0.479097,-0.358283,-0.251137,3.23599,1.83049,0.903173,1.27027,-1.65364,-0.431353,-0.337732,-0.22343,-0.123186,-0.0343413,-0.034538,0.0714238
