 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,0.192792,0.343535,0.378205,0.408659,0.437008,0.462533,0.490974,0.545827,0.599667,0.627048,0.646136,0.657378,0.665532,0.669446,0.664283,0.664396,0.678201,0.702459,0.737958,0.776714,0.806831,0.827206,0.80553,0.790916,0.810219
J-10,0.117761,0.535203,0.550872,0.567667,0.589023,0.612523,0.639187,0.679324,0.714071,0.740073,0.761612,0.779026,0.790331,0.792592,0.789145,0.780855,0.774814,0.79196,0.820226,0.858461,0.89221,0.918242,0.898467,0.880056,0.887575
J-100,0.585834,0.833429,0.830134,0.827773,0.825181,0.819756,0.805582,0.788782,0.796261,0.794315,0.786568,0.77431,0.750661,0.714599,0.743975,0.762369,0.785261,0.825863,0.877751,0.930668,0.961785,0.971,0.912279,0.865223,0.862899
J-101,0.580227,1.01506,1.00676,1.00532,1.01164,1.02448,1.04353,1.072,1.08402,1.07233,1.04642,1.0179,0.983387,0.926956,0.953689,0.973927,0.999223,1.0444,1.10446,1.16791,1.20494,1.21465,1.12821,1.05824,1.04514
J-102,0.628808,1.03415,1.02685,1.02645,1.03383,1.04764,1.06757,1.09672,1.1102,1.09839,1.07252,1.04467,1.01011,0.95531,0.982535,1.00242,1.02746,1.07263,1.13252,1.19556,1.23168,1.24024,1.15146,1.08109,1.06826
J-103,0.60605,1.0021,0.995218,0.995065,1.00248,1.01612,1.03558,1.06345,1.07645,1.06442,1.03865,1.01123,0.97688,0.922964,0.950541,0.970413,0.995354,1.04025,1.09963,1.16202,1.19794,1.20677,1.12063,1.05185,1.03954
J-104,0.350749,0.586904,0.595413,0.606476,0.620505,0.637249,0.657851,0.691839,0.712015,0.710116,0.698697,0.682317,0.65273,0.605549,0.605694,0.616809,0.634846,0.670919,0.716501,0.761491,0.789958,0.802199,0.785592,0.773539,0.778194
J-105,1.07525,1.06449,1.08076,1.10004,1.12288,1.14883,1.17932,1.22867,1.2614,1.26442,1.25629,1.24192,1.21625,1.17394,1.17397,1.18249,1.2005,1.23812,1.28581,1.33234,1.3587,1.36609,1.33128,1.31127,1.316
J-106,0.470693,0.711741,0.717912,0.727812,0.741894,0.759459,0.781094,0.814078,0.831472,0.826549,0.810913,0.791093,0.759913,0.716879,0.735323,0.753128,0.77454,0.812305,0.859948,0.907825,0.937472,0.948842,0.913693,0.88022,0.880514
J-107,0.329747,0.312377,0.33026,0.34986,0.371694,0.395303,0.421672,0.460554,0.48686,0.490353,0.484324,0.472653,0.450454,0.416894,0.431861,0.448927,0.469767,0.505535,0.549015,0.59143,0.619585,0.633457,0.623295,0.604211,0.610112
